Voltage,T1,LinkedPart,T2,T3,Brand,PartNumber,PartDescription,Qty
X,Socket,,outlet,,legrand,30302634338,"Socket (British Standard Electrical Outlet), 220V/13A Water Proof, IP-55, Grey Color, P/N. 69585L - Legrand",1
X,Fuse,30303675675,MEGA,100A,Little fuse,30303675550,"Mega Fuse 100A, P/N.# OMEG100.XP - Littelfuse",1
X,Fuse,30303675675,MEGA,150A,Little fuse,50571875515,"Mega Fuse, 32V, 150A, P/N.# 0MEG150.XP - Littelfuse",1
X,Fuse,30303675675,MEGA,200A,Little fuse,50571875520,"Mega Fuse, 32V, 200A, P/N.# 0MEG200.XP - Littelfuse",1
X,Fuse,30303675675,MEGA,250A,Little fuse,50571875525,"Mega Fuse, 32V, 250A, P/N.# 0MEG250.XP - Littelfuse",1
X,Fuse,,MINI,5A,Little fuse,50571875565,"Mini Fuse, 32V, 5A, P/N.# 297005 - Littelfuse",1
X,Fuse,,MINI,15A,Little fuse,50571875570,"Mini Fuse, 32V, 15A, P/N.# 297015 - Littelfuse",1
X,Fuse,,MINI,10A,Little fuse,50571875569,"Mini Fuse, 32V, 10A, P/N.# 297010 - Littelfuse",1
X,Fuse,,MINI,20A,Little fuse,50571875571,"Mini Fuse, 32V, 20A, P/N.# 297020 - Littelfuse",1
X,Fuse,,MINI,7.5A,Little fuse,50571875568,"Mini Fuse, 32V, 7.5A, P/N.# 29707.5 - Littelfuse",1
X,Fuse,30303675675,WICKMAN,500A,,30303675568,"Wickmann 500A Bolt Down Car Fuse, 32VDC, Mfr. PN.# 0298500.ZXH, P/N.# 174-0685 - RS",1
X,Fuse Holder,,MEGA,,,30303675675,"Mega Fuse Holder w/ Flex cover Up to 500A, 32V DC, Stainless Steel, P/N.# 02981028HXFC-SS - Littelfuse",1
X,Fuse Holder,,MIDI,,,50571875716,"MIDI Fuse Holder, 200A, P/N: 04980921GXM5 - Littelfuse",1
X,Fuse,50571875716,MIDI,50A,Little fuse,50571875504,"MIDI Fuse, 32V, 50A, P/N.# 0498050.M - Littelfuse",1
X,Diode,,MINI,1A,Little fuse,30352075711,"Mini Diode, 1A, Operating Temp -40Deg C to +85 DegC, Thermoplastic Material, Mfr. PN 02400113P - Littelfuse",1
X,Diode,,6A,6A,,30352075060,Diode 6A,1
X,Light,,Marker light,Amber,Durite,15448516170,"Marker Lamp, LED, 12/24 V with Leads, Amber, ECE Approved, P/N.# 0-170-70 - Durite",1
24,Light,,Indicator,Green,ESBEE,50571037124,"Indicator Lamp 24V, LED Type, 16mm, Green Color - ESBEE",1
X,Light,,Fog Light,Yellow,Pioneer,15448221396,"Fog Light 5"", LED, 72W, 10-48V, 6000K, Yellow Color, IP68 - PIONEER",1
24,Light,,Indicator,Red,PL 160IR,30304475918,Indicator Light Red 24V PL 160IR 24V,1
24,Light,,Indicator,Red 22mm dia,,30304475938,"Indicator Light, 22mm Dia, Red Color, 24V DC",1
X,Light,,Worklight,100W,Haztec,15448575353,"LED Work Light with Flood Beam, 100Watts, 9-32V DC, IP68, P/N.# 7-2100-F - Haztec",1
X,Light,,Number plate light,1W,proplast,50571075346,"Rear Number Plate Lamp 3 LED,1 Watt, Black Housing 520x120mm, 12/24V ECE R7,R4 IP6K9K, P/N.# 40027544 -Proplast",1
24,Light,,Indicator,Yellow,,30304675324,"Indicator Lamp 24V, LED Type, 16mm Yellow Color",1
24,Light,,Indicator,Green,PL 160IG,30304475916,"Indicator Light, Green 24V PL 160IG 24V",1
24,Light,,Vertical Light,Reverse,Proplast-Pro-CAN-XL,50571075265,"LED Reversing Lamp PRO-CAN XL, 24 Volt, White, ECE and ADR Approved, IP67, Art.# 40026503 - Proplast",1
24,Light,,Vertical Light,Stop,Proplast-Pro-CAN-XL,50571075342,"LED Stop-Tail Lamp PRO-CAN XL, 24 Volt, Red, ECE and ADR Approved, IP67, Art.# 40026032 - Proplast",1
24,Light,,Vertical Light,Direction,Proplast-Pro-CAN-XL,50571075222,"LED Direction Indicator Lamp, Sequential Rear, PRO-CAN XL, 24Volt, Amber, ECE and ADR approved, IP67, Art.# 40026041 - Proplast",1
X,Light,,Warning Light,Rogue,911 Signal,15448520632,"Rogue Series EUR, Vertical Mounting, Stop/Tail/Turn Signal +  Blue Warning Light,  19 Flash Pattern, P/N.# 024102B+STT  - 911 Signal",1
X,Light,,Integerated,EASSL(3W Red color),911 signal,15448520293,"Flashing LED Color Red, 3 LED 3 Watts Each, Synchronized Flash Pattern 12-24 V DC, 180 Deg. Flash Angle Lens without Mounting cover & External Lens, P/N: 021003R, Model: N3 911 Signal (EASSL)",1
X,Light,,Worklight,36W - Square,Haztec,15448575817,"LED Spotlight 36Watts, 3160 Lumens, Square 9 - 32V DC, IP68, P/N.# 7-2104-36 - Haztec",1
24,Light,,Indicator,Green,Schneider,30304610153,"Indicator Lamp, XB7-EV03B, 24V DC, Green -Telemecanique/Schneider",1
24,Light,,Indicator,Red,Schneider,30304610424,Indicator Lamp 24 V DC Red - Telemecanique/Schneider,1
X,Light,,Worklight,15W,Haztec,15448575352,"LED Work Light 10-30V IP65 15Watt, 900 Lumens P/N: 7-1015F - Haztec",1
24,Light,,Indicator,Amber,Schneider,30304610426,Indicator Lamp 24 V DC Amber - Telemecanique/Schneider,1
X,Light,,Side Illuminaltion light,,Bory,15448520398,"LED Scene Light, Black Housing, Voltage: 10 - 30V DC, 24W, 1200lm, IP67, Model: BR0103601 - Bory",1
12,Light,,Vertical Light,Reverse,Proplast-Pro-CAN-XL,50571075264,"LED Reversing Lamp PRO-CAN XL, 12 Volt, White, ECE and ADR Approved, IP67, Art.# 40026203 - Proplast",1
12,Light,,Vertical Light,Stop,Proplast-Pro-CAN-XL,50571075344,"LED Stop-Tail Lamp PRO-CAN XL, 12 Volt, Red, ECE and ADR Approved, IP67, Art.# 40026232 - Proplast",1
12,Light,,Vertical Light,Direction,Proplast-Pro-CAN-XL,50571075221,"LED Direction Indicator Lamp, Sequential Rear, PRO-CAN XL, 12Volt, Amber, ECE and ADR approved, IP67, Art.# 40026241 - Proplast",1
12,Light,,Indicator,Red,ESBEE,30304675312,"Indicator Lamp 12V, LED Type, 16mm Red Color, Cat.# SILR012 C - ESBEE",1
12,Light,,Indicator,Green,ESBEE,30304675313,"Indicator Lamp 12V, LED Type, 16mm Green Color, Cat.# SILG012 C - ESBEE",1
X,Light,,Warning Light,Low profile,911 signal,15448520296,"Warning Light LED Low Profile, LED Color RED/BLUE 10 - 33V, P/N.# 023301TRB, Model: NR6 - 911 Signal",1
X,Light,,Light bar,Integerated,Redtronic,15448520211,"Light Bar, 10 - 32VDC, 120 cm Length, Blue and Red Split with Clear Lenses, Front White Takedown (Flashing & Steady Burn), Left and Right Alley Lights, and Universal Foot Pack (Adjustable Height & Tilt), IP69K, Evolve Pro Series - Redtronic",1
X,Pressure Transmitter,, -1 to 0.6 bar,"Output: 4 to 20mA, Two-wire",Jumo,30651575601,"Pressure Transmitter, Supply Voltage 8-30V, Input Pressure -1 to 0.6 bar, Output: 4 to 20mA, Two-wire, P/N 401002/000-479-405-511-20-601-11- JUMO",1
X,Pressure Transmitter,,-1 to 24 Bar,Analog Output:1 to 5V,Jumo,30651575632,"Pressure Transmitter MIDAS C08 OEM Basic -1 to 24 Bar, 1 to 5V, 1/4 -18 NPT, FPM, W/Cable 2 Mtr, P/N: 401002/000-485-418-511-20-601-11 - JUMO",1
X,Switch,15448074050,Red Rocker,,Carlington,15448074015,"Carling switch ON/OFF Red rocker, P/N: V1D1 B603 4RZ 00 000",1
X,Switch,,Base,,Carlington,15448074050,"Base for Carling Switch (VCH Connector Housing), P/N: 999-16716-001/RCV-99900022 (VCH-01-XBU1)",1
12,Siren,,PA300-012MSC Siren Amplifier,100W,690000 - Federal Signal,30350275112,"PA300-012MSC Emergency Warning Siren Amplifier 100W, 12 Volt, Weather Proof, Model: 690000 - Federal Signal",1
24,Siren,,PA300-024MSC Siren Amplifier,200W,690009 - Federal Signal,30350275124,"PA300-024MSC Emergency Warning Siren Amplifier 200W, 24 Volt, Weather Proof, Model: 690009 - Federal Signal",1
,Cord,,,,Victron,30309675207,Mains Cord CEE 7/7 For Smart IP43 / Skylla-S Charger 2m P/N.# ADA010100100 - Victron Energy,1
24,Load Resistor,DC,,,,30359075270,"Electronic DC Load, 28V DC, 0.59 A, 47Ohm Resister",1
X,,,,,,15448549822,End Caps only for the Super Slim Recessed Aluminum Profile HK-LL-ALP001-R-X-2m - LED light world,1
X,,,,,,15448549616,"Aluminum Profile V02 Corner 16x16mm V-Shape, Silver, Curved Cover Milky White, Internal Width 12mm with End Caps, and Mounting Clips Aluminum 3 Meter,  P/N.# ALP-V02S-OW-3m -  LED light World",1
X,,,,,,15448549824,"Extra End Caps Set (2 PCS) with Separate for V Shape Profile, P/N.# LL-ALP-ECV02 - LED light world",1
X,Switch,,Door,MA005 820 81 10,MB,30302675088,"Door Switch for M.B, P/N: MA005 820 81 10",1
24,Light,15448549822-15448549616-15448549824,LED Strip,"60LED/M, White",,15448520464,"LED Strip, 24V DC 60LED/M, 14.4 W/M w/ Self Adhesive 3M Tape, White Color, White PCB, 1170Lm, 6500K, Silicon Series IP67, 5-Mtrs/Roll, Model: FV-60S-S5050W-24V - Future View Optoelectronics",1
24,Light,15448549822-15448549616-15448549824,LED Strip,"RGB, Color changing",,15448549394,"LED Strip Dimmable RGBW (RGB+6000K) Color Changing 5Mtr/Roll, 60 LEDs/Mtr Flexible Power: 14.5/M, IP65, Temp: 10 - 60, Working Lifetime (Hour): 50000, Body Copper, Certification: CE, RoHS, With Common Ground, 24V DC - LED Light World",1
12,Light,15448549822-15448549616-15448549824,LED Strip,"60LED/M, White",,15448520462,"LED Strip, 12V DC 60LED/M, 14.4 W/M w/ Self Adhesive 3M Tape, White Color, White PCB, 1170Lm, 6500K, Silicon Series IP67, 5-Mtrs/Roll, Model: FV-60S-S5050W-12V - Future View Optoelectronics",1
